Title,Rate,Comment,Author,Date,Extraction_date
Good hotel to stay in Paris,"['ui_bubble_rating', 'bubble_40']","Novotel is a good budget hotel to stay, if you are in paris. The only thing is that it is a bit far from the city center and the train station is also quiet far. So if you are staying here, you need to use...More",NischalSanghavi,"Reviewed December 9, 2013",2017-12-08 11:57:59.798617
Recommendable,"['ui_bubble_rating', 'bubble_40']",The location of the hotel is excellent. Very close to many sightseeing spots. The staff really tries to provide a good service. Rooms are in a good condition and clean. Several international TV Channel. Breakfast buffet is great. Fitness Center is not very well equipped.More,honestgerman,"Reviewed November 28, 2013",2017-12-08 11:57:59.798629
Great Location,"['ui_bubble_rating', 'bubble_40']","The hotel is conveniently located next to the rail lines and many attractions. The rooms were clean, comfortable and modern. I did not experience any issues with noise although construction was taking place in the surrounding area. Staff was pleasant and helpful. I would certainly...More",doogie28,"Reviewed November 17, 2013",2017-12-08 11:57:59.798643
Enjoyed it,"['ui_bubble_rating', 'bubble_40']",More,Bart J,"Reviewed November 6, 2013",2017-12-08 11:57:59.798657
No air conditioning / 0.5mps Internet. ,"['ui_bubble_rating', 'bubble_40']","Hot... Very hot.
After a few calls to the front desk to have the air conditioning fixed ones then told ""oh it's not tuned on in the hotel right now"".
So yes there is Internet that is included in the room, just at 0.5 mps...More",Randy H,"Reviewed October 22, 2013",2017-12-08 11:57:59.798665
Novotel Les Halles beat expectation!,"['ui_bubble_rating', 'bubble_40']",Stayed at Novotel Les Halles Paris for 5 nights in October. Family of 3 adults and two children - booked two rooms. Amazing location. Construction around although very visible did not impact our stay. We had rooms on sixth floor - fantastic views and quiet...More,Kate V,"Reviewed October 20, 2013",2017-12-08 11:57:59.798678
Great place to stay with children,"['ui_bubble_rating', 'bubble_40']","Spent four nights at this very well situated hotel with two young children - aged 7 and 3. The staff were kind, friendly and always helpful. I can't understand why people have said it's noisy. Yes, there is a huge building site outside but the...More",CNRC,"Reviewed October 11, 2013",2017-12-08 11:57:59.798692
Construction site surrounds hotel,"['ui_bubble_rating', 'bubble_40']","Great location if your a builder. This hotel is completely surrounded by construction sites. The rooms are nice, but stuffy. No air conditioning. Cannot leave the windows open unless your happy listening to jack hammers. Access to shops and restaurants is good. Close to attractions....More",RickN15,"Reviewed October 3, 2013",2017-12-08 11:57:59.798705
Average but overpriced hotel,"['ui_bubble_rating', 'bubble_40']","Stayed here for one night on a business trip. Room was a smoking one when I'd requested non smoking so wasn't very pleasant. Very bizarre bathroom layout with toilet in a cupboard and separate bathroom. Aircon not very efficient, all this for €200 per night...More",Elaine_and_Adrian,"Reviewed September 29, 2013",2017-12-08 11:57:59.798720
Wait until they refurbish,"['ui_bubble_rating', 'bubble_40']","The surroundings of the Forum Les Halles set the tone for the neighbourhood - mid renovation and sexy rebuild, the access to the hotel is challenging around construction screening and blocked routes.
Inside the public areas are fine, and the Dining area (ignore the view...More",Cityhoppa11,"Reviewed September 24, 2013",2017-12-08 11:57:59.798736
Great central location.......once you find it,"['ui_bubble_rating', 'bubble_40']","I spent 1 night in this hotel on business. The problem was finding it. There is alot of building going on in the Les Halles area and some of the roads are closed which is a little confusing. However, once located the lobby area is...More",BertieDerbyshire,"Reviewed September 17, 2013",2017-12-08 11:57:59.798750
Fantastic location and great room,"['ui_bubble_rating', 'bubble_40']",More,michellemac6,"Reviewed September 9, 2013",2017-12-08 11:57:59.798764
no way!!! dont't stay!!!,"['ui_bubble_rating', 'bubble_40']",I booked a suite for 3 of us----probably the worst rooms I have ever stayed in and definitely the worst location. Shower kept falling apart and things kept dropping off the toilet. Suite for 3 people is a joke especially if you are staying a...More,ringo-cap,"Reviewed September 3, 2013",2017-12-08 11:57:59.798772
Weekend stay with my partner and two children,"['ui_bubble_rating', 'bubble_40']",More,ABE20000,"Reviewed August 28, 2013",2017-12-08 11:57:59.798785
Decent family hotel,"['ui_bubble_rating', 'bubble_40']","Initially we were disappointed. The hotel overlooks a construction site and les Halles seemed a little rough. It took a little getting used to but we eventually grew to like it. The area is full of cafes, close to the metro and attractions. Les Halles...More",SamInRuislip,"Reviewed August 21, 2013",2017-12-08 11:57:59.798793
Novetel with family,"['ui_bubble_rating', 'bubble_40']","It was difficult to get close to the hotel because of the building work, so multiple trips needed to be made to collect luggage. The check in was beyond slow and with a guest questioning the backpack we had our sleeping child in added to...More",ShelleyLloyd,"Reviewed August 11, 2013",2017-12-08 11:57:59.798816
Well priced family hotel in Paris,"['ui_bubble_rating', 'bubble_40']",More,ButDad,"Reviewed August 10, 2013",2017-12-08 11:57:59.798829
A week in Paris,"['ui_bubble_rating', 'bubble_40']","Stayed at the novotel very central, not noisey as some reviewers would suggest, very clean as you would expect from a Novatel, its been a great stay, can recomend this motel. The people are welcoming even if there is a language barrier , but easily...More",Paul G,"Reviewed August 1, 2013",2017-12-08 11:57:59.798837
Nice hotel- good location,"['ui_bubble_rating', 'bubble_40']","Clean hotel with good size rooms that were clean and quiet. Breakfast was very good with alot of choice, the man with the balloons to entertain the kids was a lovely choice. The location to the Metro system was excellent and hotel staff happy to...More",SydneyKatB,"Reviewed July 26, 2013",2017-12-08 11:57:59.798850
Nice,"['ui_bubble_rating', 'bubble_40']",Clean hotel in accordance with the group's standards although more pricey than the counterparts in the UK. Paris generally is very expensive to stay and this was reasonable value in a convenient location. Breakfast was good although chaotic at times as the restaurant is small...More,71Ray71,"Reviewed July 22, 2013",2017-12-08 11:57:59.798863
Family from Finland,"['ui_bubble_rating', 'bubble_40']","During our short visit in Paris we chose Novotel Les Halles, fortunately. Location was perfect. Executive room was great for our family of four, two teens had separate beds! The room was quite and clean, building works did not do any harm for us. The...More",Tiina M,"Reviewed July 18, 2013",2017-12-08 11:57:59.798876
First Trip to Paris,"['ui_bubble_rating', 'bubble_40']","Excellent location - walking distance to Ile de la Cite & Louvre, Tuilleries. Hotel is surrounded by shops & restaurants which was very handy. Convenient to Chatelet Les Halles station & we had no issues with crime or any concerns for safety, which I had...More",DS_in_FL,"Reviewed July 8, 2013",2017-12-08 11:57:59.798889
Very difficult access due to construction,"['ui_bubble_rating', 'bubble_40']","Luxury hotel in a nice location. Very pricey. Comfortable rooms and bathroom. Very close to metro,bus, many restaurants and shops. 5 minute walk to the Louvre. Helpful, professional and multilingual staff.
The hotel is in an active construction site and we were not warned by...More",Jey M,"Reviewed July 2, 2013",2017-12-08 11:57:59.798903
Great location,"['ui_bubble_rating', 'bubble_40']","The Novotel was good, but not great. The location was wonderful. However, there is a lot of construction in front of the hotel, so cars cannot pull up to the front. The reception staff was wonderful and helpful. They even spoke English really well, which...More",oils1216,"Reviewed June 24, 2013",2017-12-08 11:57:59.798917
Kids in Novotel,"['ui_bubble_rating', 'bubble_40']","In this hotel were a lots of families with small children.
In a hotel is a really small babycorner for older kids, so nothing for us. We had spacious nice room with babycot, but beds werent comfortable and the view form Windows was to the...More",leni_proch,"Reviewed June 20, 2013",2017-12-08 11:57:59.798931
Good clean hotel with good location,"['ui_bubble_rating', 'bubble_40']","Stayed at the hotel last week. Impressed with the location, cleanliness and helpful hotel staffs. There is nothing too troublesome and always polite and reliable. Rooms a bit small - the executive room and 3 adults are a bit squeeze. The third person stayed on...More",ccooltravel,"Reviewed June 12, 2013",2017-12-08 11:57:59.798944
Area vs Service,"['ui_bubble_rating', 'bubble_40']","The staff was terrible. The location was perfect, but staff was rude. Even though menu states all night service the bartender would not allow room service orders. Concierge was also rude. Stay here for walking distance, if you are looking for real reliable service please...More",KrisThorpe,"Reviewed June 5, 2013",2017-12-08 11:57:59.798957
Feedback from well travelled Australians,"['ui_bubble_rating', 'bubble_40']","We stayed at this hotel upon recommendation from our family. We were made aware of the great location, central to most sites and stations but modest/compact rooms. While we found the convenience was brilliant, some of the amenities in the room really let it down....More",Aaron H,"Reviewed June 2, 2013",2017-12-08 11:57:59.798971
A very convenient base,"['ui_bubble_rating', 'bubble_40']",We stayed with friends for 4 nights in May and found it very convenient and central. Staff were very friendly and helpful. Excellent breakfast but not always replenished very quickly. Found it quite expensive for what it is but then it is in central Paris.More,Traveller0513,"Reviewed May 28, 2013",2017-12-08 11:57:59.798985
Fit a family of four,"['ui_bubble_rating', 'bubble_40']","The Novotel Les Halles had comfortable beds, an excellent central location and fit my family of four in one room. Finding central accomodations for four people in Paris without having to rent two rooms isn't the easiest thing to do. The breakfast was very good...More",Colleen538,"Reviewed May 19, 2013",2017-12-08 11:57:59.798998
I was scammed!,"['ui_bubble_rating', 'bubble_40']","I stayed for 8 nights at Novotel Paris Les Halles.
My reservation was made well in advance and send e mail to the hotel informing be disabled and that room was needed.
What was not my surprise with the practice unfair and Accor omissiva!
Les...More",MrMoreira,"Reviewed May 8, 2013",2017-12-08 11:57:59.799011
"Good location, busy hotel","['ui_bubble_rating', 'bubble_40']","I was here for a business trip in Feb and stayed for 2 nights. The hotel is located very close to Les Halles and right next to the metro station. The hotel was very busy every time I approached the reception staff and although friendly,...More",davesvoice,"Reviewed May 6, 2013",2017-12-08 11:57:59.799024
"Central position, good quality","['ui_bubble_rating', 'bubble_40']","I've been in this hotel for 2 nights.
The room was large enough for a family of 3 persons that wants to visit the city and to stay in the hotel just the time to sleep.
The wardrobe was very small.
The room had a...More",Giorgiob75,"Reviewed May 1, 2013",2017-12-08 11:57:59.799038
Location location location,"['ui_bubble_rating', 'bubble_40']","The hotel is right in the middle of Paris within walking distance to everything. The Seine, Notre Dame, The Métro, the Restaurants are at your disposal. The only draw back at the moment is there is major construction going on with upgrading of the Métro...More",Tina B,"Reviewed April 27, 2013",2017-12-08 11:57:59.799050
"Nice property, great location, not best neighborhood","['ui_bubble_rating', 'bubble_40']","As others have pointed out, this is a nice property in a great location for getting to what you want to see in Paris, but in a construction area that seems a bit rough in the evenings.
The good:
1) The room was nice and...More",Martin C,"Reviewed April 21, 2013",2017-12-08 11:57:59.799065
"Nice place, shame about the building work immediately outside...","['ui_bubble_rating', 'bubble_40']","This is a fabulous hotel on so many levels - great reception / concierge service, excellent breakfast and it was a very good place to stay BUT... the building work outside starts at 7am and ends around 10pm. That was a real problem as we...More",oldtravelbag,"Reviewed April 14, 2013",2017-12-08 11:57:59.799078
Amazing 5 days in Paris Novotel Les Halles,"['ui_bubble_rating', 'bubble_40']","A good space rooms with very nice staff, a comfortable shower and bath and big bed with ceiling to floor windows, this hotel is great for work but I would stay here with friends. Breakfast Obrigado Novotel.More",PauloHussar,"Reviewed April 10, 2013",2017-12-08 11:57:59.799092
Paris Vacation with four rooms,"['ui_bubble_rating', 'bubble_40']",I booked four rooms for a major family vacation. The interior of the hotel was great. Reception was very helpful. Because we were travelling in late March the heat was still on and the rooms were very hot. Even though the hotel was booked full...More,suze381,"Reviewed April 2, 2013",2017-12-08 11:57:59.799105
Nothing fancy but nothing to dislike either...,"['ui_bubble_rating', 'bubble_40']","For location it would be hard to beat; right outside one the major metro interchanges and within walking distance of a lot of the tourist sights. For Paris prices its OK, but don't expect some smart boutique luxury - this is a plain old simple...More",Shaun D,"Reviewed March 24, 2013",2017-12-08 11:57:59.799125
A Great Location,"['ui_bubble_rating', 'bubble_40']","Stayed for five days in March 2013 with my wife and two friends. Despite extensive construction in the plaza outside the hotel, it is very convenient to many sites including the Pompidou Center, the Louvre, and the Pont Neuf, which are all within easy wallking...More",zeke421912,"Reviewed March 19, 2013",2017-12-08 11:57:59.799139
Great stay,"['ui_bubble_rating', 'bubble_40']","Excellent location, the staff is superb, we knew it is recommended mostly for business, but we had an excellent family stay
Breakfast is varied, american style with a french touch
Subway and trains access within a block
Lots of nice bistros in the neighborhoodMore",CHRISTIANE T,"Reviewed March 15, 2013",2017-12-08 11:57:59.799153
"Better than average, not special.","['ui_bubble_rating', 'bubble_40']","The hotel is located very central and close to the metro lines.
Like all hotels in Paris you pay to much for what you get. As I mostly travel to Paris for business the bill goes to the company. This time we had to pay...More",Westmaas,"Reviewed February 25, 2013",2017-12-08 11:57:59.799166
Perfect hotel just like that,"['ui_bubble_rating', 'bubble_40']","This was my first time in this hotel for two nights. Reception staff is a great proof that French hotels can be with great friendly welcome. Room is large, functional and friendly. Location by the metro and the shopping center is perfect. The breakfast is...More",Zingers,"Reviewed February 18, 2013",2017-12-08 11:57:59.799179
Excellent location,"['ui_bubble_rating', 'bubble_40']","This hotel is in a wonderful location, just by a metro station and the Centre Pompidou. Close to several affordable restaurants and shops. Walking distance to the Louvre, Notre Dame, Rue de Rivoli (shops) and close to a market where you can get fresh fruit...More",cbonorino,"Reviewed February 11, 2013",2017-12-08 11:57:59.799192
Near to museum,"['ui_bubble_rating', 'bubble_40']","This is a family hotel. Is located in one of the main avenues of midtown in paris. Nexto to the museun and plazas and streets wiht the landscape of the traditional París. Have a lot of historical places next to. Yhe rooms are confortable, but...More",José Odalis O,"Reviewed February 1, 2013",2017-12-08 11:57:59.799206
A Novotel in the most central location in Paris,"['ui_bubble_rating', 'bubble_40']","A friend of me once said : ""a novotel is a novotel is a novotel"".
For a start the bar/restaurant area is not as most novotels, no cote jardin standard restaurant and bar. Especially the bar is very nice with 2 iMacs to occupy the...More",dieterderam,"Reviewed January 22, 2013",2017-12-08 11:57:59.799220
Location : good and bad,"['ui_bubble_rating', 'bubble_40']",Novotel les Halle's is very centrally located but the problem is that is centrally located in a sketchy part of Paris. As a female traveller I would not recommend staying here unless in a group or accompanied by a male companion. Despite this we were...More,neemy,"Reviewed January 13, 2013",2017-12-08 11:57:59.799234
Excellent hotel,"['ui_bubble_rating', 'bubble_40']","Perfect location, no concern about neighbourhood being unsafe! Close to all major attractions. Very clean , excellent breakfast. The RER exit just in front of the hotel and you can take the elevators if you are coming from the airport. Definitely my hotel for our...More",dedicated-doctor,"Reviewed January 6, 2013",2017-12-08 11:57:59.799247
Excellent hotel in the heart of Paris,"['ui_bubble_rating', 'bubble_40']","Stayed 3 nights near Christmas with kids. At check-in the children received some toys and other items to keep them busy. They have a dedicated area for children to play including an X-Box.
Room was quite large for a family of four.
Excellent breakfast buffet...More",Travelsalot050,"Reviewed January 1, 2013",2017-12-08 11:57:59.799260
"Overpriced, overrated","['ui_bubble_rating', 'bubble_40']","I spent 2 nights in this hotel : on the fist night the hair-dryer didn't work and on the second I needed to call the hotel security because the door to the toilet was locked ..?!!
I paid over 200 € a night breakfast not...More",Clovis2010,"Reviewed December 26, 2012",2017-12-08 11:57:59.799274
Personal Objective Review,"['ui_bubble_rating', 'bubble_40']",More,28Katerina,"Reviewed December 5, 2012",2017-12-08 11:57:59.799288
paris,"['ui_bubble_rating', 'bubble_40']","staff very helpful. good family room with plenty of tea/coffee.
Beds comfortable.
Good bathroom
play area for children and complementary packs to keep them occupied.
Check in/out process very easy and staff fluent in English. Happy to offer advice and provide free maps etc.More",richard980,"Reviewed November 26, 2012",2017-12-08 11:57:59.799295
Nicely refurbished,"['ui_bubble_rating', 'bubble_40']","Stayed at the Novotel Paris Les Halles during a family trip to Paris. Stayed here a few years ago, and I must says that the public areas have been nicely refurbished. The rooms could also use some work.
Likes: great breakfast buffet, centrally located, public...More",Fitchy_gent,"Reviewed November 5, 2012",2017-12-08 11:57:59.799309
It is a good accor hotel,"['ui_bubble_rating', 'bubble_40']",More,alvarodabb,"Reviewed October 29, 2012",2017-12-08 11:57:59.799322
Great location!,"['ui_bubble_rating', 'bubble_40']",We moved to this hotel from Novotel Eiffel Tour. It is great location.You can reach many attractions of Paris by a little distance walking.The receptionists are more helpful and friendly than those from the former hotel.The rooms are not bad. Breakfast is good! Many fashion...More,ThiriIvy,"Reviewed October 10, 2012",2017-12-08 11:57:59.799329
Very well located and decent hotel,"['ui_bubble_rating', 'bubble_40']","If you can get a deal here, then maybe it is a great place to stay. The room we had was small, and the bathroom configuration a little strange (not enough counter space; shower/tub had a partial glass panel instead of a curtain, which was...More",OttoSchwartz,"Reviewed October 3, 2012",2017-12-08 11:57:59.799343
Disappointing.,"['ui_bubble_rating', 'bubble_40']","On the plus side, the hotel is central and the breakfast was okay - typical continental style and the Reception & Bar staff were helpful and polite. But, for the price (490 Euros for 2 nights), the rooms were poor quality - they were very...More",Fussy62Northants,"Reviewed September 30, 2012",2017-12-08 11:57:59.799357
Great hotel,"['ui_bubble_rating', 'bubble_40']",Great location. Was 15 minutes walk to Notre Dame Cathederal & the Louvre. Lots of good restaurants & shopping in the area. Rooms were clean. The staff was very helpfull. The breakfast package is a great deal...great breakfast. Metro is just outside the front door.More,TonyScorpio,"Reviewed September 23, 2012",2017-12-08 11:57:59.799370
Great location,"['ui_bubble_rating', 'bubble_40']","Stayed at the hotel for four nights. Our room was nice with a twin-bed and a sofa. The bathroom had a shower and a separate bathtub. The toilet was in a separate room that had no sink, so we had to walk to the bathroom...More",TESH1976,"Reviewed September 16, 2012",2017-12-08 11:57:59.799385
A welcome retreat after Disneyland,"['ui_bubble_rating', 'bubble_40']","Great location - especially if you find the lift that emerges in the street opposite the hotel from the train station.
Wonderful welcome - great focus on our 4 year old.
Good facilities - great use made of a relatively small space.
Good restaurant options...More",Kate J,"Reviewed September 10, 2012",2017-12-08 11:57:59.799398
Perfect Hotel - Perfect Location,"['ui_bubble_rating', 'bubble_40']","We spend 4 days in end August 2012. Location was just perfect, in the very heard of Paris next to the Metro and RER station. The staff was polite and helpful and the hotel facilities were excellent. The room was also very good. Spacious, modern...More",CostasLeonidou,"Reviewed September 3, 2012",2017-12-08 11:57:59.799412
A Fine Hotel in a Fine City,"['ui_bubble_rating', 'bubble_40']","A fine hotel in a fine city, great service, friendly staff.
Right in the heart of zone 1 Paris, close to everything, museums, metro, taxi’s & town cars.
The area is safe, & friendly,
Anne-Marie was simply fantastic in the restaurant, as was a few...More",AlansWorldTravels,"Reviewed August 27, 2012",2017-12-08 11:57:59.799433
"Great location, very average hotel. Room was poor, food & service average. As a family, we wouldn't come again.","['ui_bubble_rating', 'bubble_40']","We're a family of 4, including 2 kids, 11 and 6. Location is great, but that's where it ends. No on site car parking (even though the website says it does), major renovations for the next 2 years all round the hotel but the Accor...More",Jimpdw,"Reviewed August 13, 2012",2017-12-08 11:57:59.799450
"Location, location, location","['ui_bubble_rating', 'bubble_40']",This was our second visit to Novotel Paris Les Halles and even better than the first. Its location cannot be bettered in the entire Accor chain - or even any other chain. An easy after dinner stroll takes you round Notre Dame via the Pont...More,Donald M,"Reviewed August 4, 2012",2017-12-08 11:57:59.799466
Great location but not 4*,"['ui_bubble_rating', 'bubble_40']",Close to all the fun and beautiful spots like Notre Dam and Centre Pompidou. The room looks like 2* or 3*. Clean and spacious but too simple and too basic for a 4*. Reception area and common areas are ok.,Michieltravel,"Reviewed July 26, 2012",2017-12-08 11:57:59.799480
Just another business Hotel,"['ui_bubble_rating', 'bubble_40']","I stayed just for one night and the Hotel location was great, it was very clean and the staff was very friendly. I just needed some facilities I use frequently in my business trips, such a swimming pool or simply a gym.",diego_esteban,"Reviewed July 19, 2012",2017-12-08 11:57:59.799493
A Top Hotel,"['ui_bubble_rating', 'bubble_40']","We were very pleasantly surprised by the quality of this hotel. After a number of visits to Paris staying at the same hotel in Saint Germaine, we opted for something different and used our Accor membership to boo at the Novetel. We did not know...More",Phlogga,"Reviewed July 15, 2012",2017-12-08 11:57:59.799505
Good Family Hotel,"['ui_bubble_rating', 'bubble_40']","A good economical hotel in the extravagant Paris. The reception and the waiting hall says it all about its class. The rooms were very spacious for a budget price.Good, well trained staff. Its area of location is what makes it more recommendable. It remains completely...More",DBhatt,"Reviewed July 9, 2012",2017-12-08 11:57:59.799518
Stayed here previously,"['ui_bubble_rating', 'bubble_40']",Our second trip to Paris and this hotel. Convenient location Rooms spacious and clean and bathroom very nice. Separate toilet was nice. Nice bar food and drinks service. No laundry in hotel for use of guests,Pauline1811027,"Reviewed July 6, 2012",2017-12-08 11:57:59.799532
More central??you cannot get!!,"['ui_bubble_rating', 'bubble_40']",The most useful thing to know for this hotel is ..from which exit you ll go out from train station!!chatelet les halles is a VERY busy station..so when you come out of the train you must take the direction to port les halles-and then find...More,basiliogr,"Reviewed June 30, 2012",2017-12-08 11:57:59.799544
Spend the money and stay elsewhere,"['ui_bubble_rating', 'bubble_40']",I would NOT recommend this hotel to anyone. I stayed in Paris two weeks ago and three of the nights stayed at this hotel. I found the rooms to be equivalent to what you would find at a university dorm room. Beds and room are...More,Donna W,"Reviewed June 21, 2012",2017-12-08 11:57:59.799557
"Good location, good sleep, clean and large room but little cubbord space","['ui_bubble_rating', 'bubble_40']",More,Bren_Espoo_Finland,"Reviewed June 13, 2012",2017-12-08 11:57:59.799571
Best Location in Paris - Great hotel too,"['ui_bubble_rating', 'bubble_40']","Stayed in the hotel for 4 nights in May 2012. Enjoyed the hotel immensely. It's clean, comfortable and roms are larger than other hotels in Paris. Our pillows were not the best, but a single phone call to housekeeping resulted in 2 new ones being...More",Gregor R,"Reviewed June 7, 2012",2017-12-08 11:57:59.799580
Great location ok hotel,"['ui_bubble_rating', 'bubble_40']","My husbant and I visited Paris and stayed at this hotel at the begining of May 2012.
The location is great just about 10 minutes from the Louvre and the Notre Dame.
The hotel is big, the staff is friendly and helpfull and speaks english....More",1DIV,"Reviewed May 28, 2012",2017-12-08 11:57:59.799594
Functional rather than relaxing,"['ui_bubble_rating', 'bubble_40']","We selected this hotel for a weekend break for location and generally good reports. Paris is expensive, but we were slightly dissappointed with the hotel in terms of quality given the price.
There is nothing wrong with the hotel at all but it all felt...More",david1960uk,"Reviewed May 18, 2012",2017-12-08 11:57:59.799609
"Terrific location, very child-friendly, but some (minor) flaws","['ui_bubble_rating', 'bubble_40']",More,Minnilux,"Reviewed May 7, 2012",2017-12-08 11:57:59.799624
Novotel Non - Closets with Toilets,"['ui_bubble_rating', 'bubble_40']","Traveling on vacation with my wife and two of my daughters (teenagers), we book-ended five days in the French countryside (See Chateau de Pray) with stays at this Novotel in Paris. I had read about the construction but did not realize until we got there...More",Pramstroker,"Reviewed April 29, 2012",2017-12-08 11:57:59.799634
"Centrally located, clean, pleasant","['ui_bubble_rating', 'bubble_40']","Il faut rester ici! Tout le monde était sympa et poli.
The piano bar was great to come home to after a day of faire les touristes.More",kgagnewakefield,"Reviewed April 23, 2012",2017-12-08 11:57:59.799648
Great location but beware on check in,"['ui_bubble_rating', 'bubble_40']",I stayed for a couple of nights last weekend at the hotel and found it a great place to stay for the breakfast and location. Walking distance to major sites and 2 metro/RER stations on the door step. The area itself wasn't great esp at...More,Frances L,"Reviewed April 16, 2012",2017-12-08 11:57:59.799661
Fantastic stay in Paris,"['ui_bubble_rating', 'bubble_40']",I went to Paris for 3 nights and stayed in Novotel.I specialy like the decor of the place. Breakfast in the morning was deliciouse with a lot of choices and smileing verry helpful staff. We had absolutely amazing stay and definately want to came back...More,Lucasz_K,"Reviewed April 9, 2012",2017-12-08 11:57:59.799675
"Great location and very friendly, efficient staff","['ui_bubble_rating', 'bubble_40']","My 2 girlfriends and I stayed here for 2 nights and had a great time. We shared a room for 3 and was very comfortable. The bathroom was clean and adequate and there was a separate toilet which was a great idea.
Location was excellent...More",Shezza42,"Reviewed April 3, 2012",2017-12-08 11:57:59.799689
Wonderful hotel experience,"['ui_bubble_rating', 'bubble_40']","I was extremely pleasantly surprised by the luxurious and comfortable centrally located hotel, which far surpassed my expectations of a chain hotel in its size and atmosphere. The room was comfortable and quiet, immaculately clean, and with good storage and a pleasant bathroom. The staff...More",BOFjones,"Reviewed March 23, 2012",2017-12-08 11:57:59.799703
Nothing bad to say,"['ui_bubble_rating', 'bubble_40']","Stayed here last weekend. Fantastic location, you can walk everywhere, Seine, Notre Dame, Louvre, Rue de rivoli all minutes away. We walked there from gare du nord but it's only two stops on the RER. Cafes, shops, restaurants all on your doorstep, nice breakfast at...More",murrayandamanda,"Reviewed March 5, 2012",2017-12-08 11:57:59.799717
Hotel fine until you sleep,"['ui_bubble_rating', 'bubble_40']","2 significant problems encountered with this hotel. They offered only 2 types of pillows, both of them of low quality. No alternatives given. I expressed my issue as I couldn't sleep with a synthetic pillow, but they replied that they couldn't do anything. For an...More",PC65,"Reviewed February 20, 2012",2017-12-08 11:57:59.799731
Very pleased,"['ui_bubble_rating', 'bubble_40']",More,An Accor traveler,"Reviewed February 15, 2012",2017-12-08 11:57:59.799752
"Great, easy location","['ui_bubble_rating', 'bubble_40']","Pros: Centrally located within walking distance of the Louvre and several other sites. Clean, modern look (felt like Vegas). Room was relatively spacious. Easy airport access (via RER B).
Con: Our room's heating didn't work and they wouldn't move us. Instead they gave us the...More",nolovelost28,"Reviewed February 8, 2012",2017-12-08 11:57:59.799761
What you expect from a large chain,"['ui_bubble_rating', 'bubble_40']","This hotel was of the typical standard you would expect from a large chain like Novotel. Clean, well organised, and well located. You cannot go wrong with it. The breakfast was also quite good.
Just note one thing: There is quite a large construction going...More",Eagleton,"Reviewed January 28, 2012",2017-12-08 11:57:59.799775
Wonderful hotel! Well Located!,"['ui_bubble_rating', 'bubble_40']","Big rooms, with a double bed and two single beds, helpfull staff! good breakfast, but not included. Metro just behind the hotel, just like a big shopping mall. Good location, near Rue de Rivoli and Louvre, in the 1°arr. I would definetely stay there again!",nandamoreira,"Reviewed January 22, 2012",2017-12-08 11:57:59.799789
Perfect location but construction site just next to the hotel,"['ui_bubble_rating', 'bubble_40']","everithing is fine exept the reconstraction of ""Les Halles"" just next to the hotel. Workers start about 7 in the morning with a lot of noice.More",TheTravelerToUAE,"Reviewed January 14, 2012",2017-12-08 11:57:59.799803
"Good hotel in excellent location, pity that our room felt like a cell as the window looked down inside the restaurant.","['ui_bubble_rating', 'bubble_40']","We stayed for 3 nights here. Excellent location, good service, clean rooms but we were given a 2nd floor room that looked down on the restaurant, no natural light, only a neon light. Poor ventilation made it a very stuffy room. Very noisy on New...More",monicabird,"Reviewed January 2, 2012",2017-12-08 11:57:59.799816
Good hotel,"['ui_bubble_rating', 'bubble_40']","I was upgraded to Junior suite as am A Club platinum.
Lovely room with excellent bathroom. Hotel is in excellent location, staff were friendly, helpful and welcoming - not always the case in France! Did not use restaurant as many good places nearby.More",Mbett1,"Reviewed December 17, 2011",2017-12-08 11:57:59.799832
happy to reccommend this hotel,"['ui_bubble_rating', 'bubble_40']","We stayed here for four nights in late November this year (2011). This is the second time we have used this hotel, so obviously you know we are already happy with it
This time, unexpectedly, we had some mobility problems, but there are so many...More",dandwDurham,"Reviewed December 2, 2011",2017-12-08 11:57:59.799845
"Fantastic location, great lobby and bar, ok room","['ui_bubble_rating', 'bubble_40']","The Novotel Paris was in a fantastic location. The Chatelat metro was right outside the door, close to the Louvre, minutes to walk to the Seine river. It is very centralled located, we walked the the Arc de Triomphe, along Champs Elysees, Louvre, beautiful parks...More",shoes4me,"Reviewed November 28, 2011",2017-12-08 11:57:59.799859
Good hotel for strolling around in the center of Paris,"['ui_bubble_rating', 'bubble_40']","4 and half days at the beginning of November the hotel had an excellent position in the center of the city. Walking distance to Notre Dame, Le Louvre, Les Marais, Avenue Haussmann. We even walked up to Champs Elyssés.
Metro and RER is situated just...More",KarinItzel,"Reviewed November 15, 2011",2017-12-08 11:57:59.799874
Strike,"['ui_bubble_rating', 'bubble_40']","When I was there, there was a strike of cleaning personal, it was awful.
And I don't like insulation in rooms.More",AndreyVG12009,"Reviewed November 5, 2011",2017-12-08 11:57:59.799889
Well located but not the greatest 4 star,"['ui_bubble_rating', 'bubble_40']",Stayed at the Novotel les Halles on a recent 3 day pleasure trip to Paris. The hotel is very well located next to Chatalet les Halles metro/RER making it handy if travelling Via CDG airport. It's also a stones throw from pont neuf and the...More,Craig_Hank,"Reviewed October 30, 2011",2017-12-08 11:57:59.799900
"Good location, good size of hotel room","['ui_bubble_rating', 'bubble_40']",,KoalaKangaroo,"Reviewed October 11, 2011",2017-12-08 11:57:59.799914
